Workout.1,Workout.2,Workout.3,Workout.4,Workout.5,Workout.6,Workout.7,Workout.8,,
120,176,167,134,,,110,132,,
121,176,167,134,,,110,131,,
124,176,167,133,,,109,131,,
127,176,166,131,,,111,133,,
131,176,166,130,,,111,134,,
132,176,167,130,,,105,135,,
130,176,166,129,,,100,135,,
131,176,164,129,,,97,135,,
133,175,165,130,,,95,135,,
133,174,165,131,,,96,136,,
132,173,166,132,,,103,135,,
132,173,167,134,,,107,135,,
130,174,167,137,,,107,133,,
129,176,167,138,,,105,132,,
125,177,167,138,,,106,132,,
124,177,167,139,,,105,132,,
122,177,168,139,,,105,132,,
122,177,169,140,,,109,131,,
122,178,168,140,,,112,131,,
122,178,166,140,,,110,131,,
126,179,165,138,,,102,131,,
126,179,165,137,,,96,130,,
124,179,166,131,,,96,130,,
124,179,166,127,,,97,130,,
125,179,165,128,,,94,129,,
126,179,166,131,,,94,128,,
126,179,167,133,,,95,129,,
127,179,167,133,,,99,129,,
126,180,168,133,,,99,128,,
127,180,169,132,,,98,128,,
129,180,169,130,,,99,127,,
130,180,169,130,,,98,123,,
132,180,167,130,,,99,118,,
132,180,167,131,,,100,113,,
131,180,168,134,,,102,110,,
132,180,168,135,,,101,109,,
131,179,168,136,,,99,109,,
131,179,168,137,,,101,112,,
131,179,168,139,,,106,113,,
132,180,167,141,,,116,112,,
132,180,167,142,,,119,106,,
132,180,167,144,,,126,104,,
131,179,110,145,,,128,102,,
130,178,111,146,,,132,100,,
128,178,113,147,,,132,101,,
127,179,116,147,,,133,101,,
126,180,121,148,,,134,98,,
124,179,126,147,,,135,96,,
120,178,131,145,,,136,94,,
119,178,134,142,,,140,97,,
114,178,136,140,,,143,104,,
112,178,139,136,,,148,110,,
115,177,142,130,,,149,115,,
116,176,145,127,,,146,118,,
116,176,148,126,,,143,118,,
114,177,150,126,,,141,116,,
114,177,151,125,,,139,116,,
116,177,151,124,,,134,117,,
122,177,154,123,,,134,121,,
124,176,158,120,,,132,123,,
126,175,161,118,,,132,124,,
126,175,163,120,,,129,124,,
124,174,165,125,,,129,123,,
125,174,166,129,,,124,124,,
128,174,167,131,,,117,128,,
128,175,167,132,,,103,131,,
128,176,167,129,,,102,130,,
128,175,167,124,,,100,130,,
130,175,167,125,,,100,131,,
129,174,169,128,,,94,131,,
126,173,171,130,,,94,129,,
126,173,173,130,,,94,128,,
126,173,174,130,,,105,127,,
126,174,174,131,,,116,126,,
125,174,174,131,,,111,126,,
125,174,174,132,,,102,127,,
127,174,173,132,,,103,128,,
128,172,174,133,,,104,129,,
125,172,175,135,,,101,131,,
123,172,176,135,,,97,132,,
122,173,176,135,,,95,134,,
119,174,178,135,,,90,135,,
115,174,178,136,,,94,136,,
113,174,179,136,,,93,136,,
101,174,178,134,,,91,135,,
101,174,178,133,,,87,135,,
101,174,178,131,,,89,136,,
100,175,178,129,,,89,138,,
93,175,177,126,,,90,139,,
96,175,177,123,,,90,140,,
101,175,176,121,,,92,139,,
105,175,176,115,,,102,138,,
107,175,175,113,,,101,139,,
109,174,174,115,,,97,139,,
108,175,174,118,,,97,139,,
106,176,174,118,,,96,139,,
104,177,173,117,,,96,141,,
103,177,173,116,,,96,142,,
106,178,174,116,,,96,143,,
110,179,177,117,,,78,144,,
111,178,178,118,,,74,146,,
107,179,179,119,,,74,148,,
104,179,179,120,,,75,149,,
103,180,180,120,,,83,150,,
104,180,180,120,,,90,150,,
105,180,179,121,,,95,149,,
106,181,177,122,,,94,149,,
107,181,175,119,,,88,148,,
110,181,175,117,,,88,147,,
113,181,174,120,,,88,146,,
118,181,175,123,,,88,145,,
121,181,175,127,,,86,144,,
123,181,176,128,,,86,144,,
124,181,177,129,,,86,144,,
125,181,177,129,,,83,144,,
125,182,177,129,,,87,144,,
125,181,177,128,,,90,144,,
125,182,178,128,,,106,144,,
124,182,179,129,,,106,145,,
124,182,179,130,,,105,146,,
124,182,180,131,,,105,146,,
124,181,180,132,,,93,146,,
125,181,180,131,,,93,146,,
126,182,179,101,,,92,147,,
127,181,179,101,,,95,148,,
127,181,178,103,,,97,148,,
125,180,178,105,,,99,149,,
123,181,178,109,,,100,149,,
121,181,177,109,,,101,149,,
121,181,177,110,,,103,149,,
122,181,178,110,,,107,149,,
122,180,177,108,,,109,148,,
124,180,176,108,,,109,147,,
124,179,174,111,,,105,147,,
124,179,174,113,,,98,147,,
122,179,174,115,,,95,148,,
122,179,173,116,,,95,149,,
125,179,176,115,,,96,152,,
128,179,177,115,,,96,154,,
128,179,180,113,,,93,155,,
129,179,182,112,,,92,156,,
131,178,181,111,,,93,156,,
133,179,180,111,,,93,156,,
134,179,181,113,,,93,156,,
132,179,181,116,,,93,157,,
130,179,180,117,,,93,157,,
130,179,179,116,,,93,155,,
130,179,179,115,,,93,154,,
131,180,179,115,,,93,150,,
130,180,179,115,,,93,149,,
130,180,180,116,,,93,148,,
128,,180,116,,,93,147,,
125,,180,116,,,93,146,,
125,,179,116,,,93,145,,
125,,178,114,,,93,145,,
124,,178,109,,,93,144,,
125,,178,106,,,89,143,,
126,,179,102,,,88,143,,
126,,180,100,,,89,144,,
126,,181,98,,,89,146,,
124,,182,99,,,91,147,,
124,,184,102,,,94,149,,
122,,184,103,,,97,150,,
122,,183,106,,,96,151,,
125,,182,107,,,94,152,,
125,,180,108,,,81,153,,
123,,179,107,,,79,153,,
121,,178,103,,,78,153,,
119,,178,103,,,78,152,,
117,,177,107,,,81,153,,
112,,177,109,,,81,154,,
109,,175,109,,,84,154,,
107,,175,109,,,85,155,,
109,,175,110,,,85,156,,
112,,174,111,,,85,156,,
113,,174,115,,,74,155,,
112,,175,116,,,72,154,,
107,,175,118,,,75,153,,
104,,175,120,,,80,151,,
104,,176,122,,,84,150,,
107,,177,123,,,89,151,,
109,,178,125,,,96,151,,
112,,179,128,,,102,151,,
116,,179,130,,,100,152,,
119,,178,130,,,95,152,,
119,,177,129,,,91,151,,
120,,177,129,,,86,150,,
120,,176,131,,,86,148,,
122,,176,133,,,85,145,,
124,,175,135,,,85,143,,
124,,175,136,,,82,144,,
123,,174,136,,,82,145,,
122,,174,136,,,82,144,,
122,,174,134,,,82,139,,
122,,173,134,,,82,135,,
121,,173,134,,,78,133,,
119,,172,134,,,78,128,,
118,,173,132,,,91,123,,
115,,173,131,,,106,121,,
114,,176,131,,,114,118,,
111,,176,130,,,116,116,,
109,,178,129,,,111,115,,
110,,179,129,,,105,112,,
110,,180,131,,,103,109,,
107,,179,132,,,103,107,,
107,,178,132,,,105,105,,
108,,129,131,,,110,104,,
110,,134,132,,,117,105,,
112,,138,134,,,123,109,,
112,,138,133,,,126,113,,
111,,139,132,,,127,115,,
108,,139,132,,,127,118,,
107,,143,133,,,128,122,,
106,,145,133,,,130,125,,
104,,148,133,,,132,128,,
102,,151,133,,,133,131,,
102,,157,134,,,133,135,,
108,,158,134,,,134,140,,
107,,159,134,,,135,144,,
104,,159,134,,,135,147,,
99,,160,133,,,135,149,,
97,,162,134,,,134,150,,
98,,165,134,,,132,148,,
100,,166,133,,,131,147,,
101,,167,133,,,131,147,,
